sheet_name,row_index,chapter,subchapter,code_article,product_name,unite,quantite,matched_page,matched_pdf,brand,specs,matched_excerpt,match_confidence
PL,6,,BRANCHEMENT ET COMPTAGE,3.1.1.1,Equipement de branchement compteur général DN75,U,2.0,36,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"DN75, vannes (x2), clapet retenue, filtre microns lavage automatique (vannes + by-pass), disconnecteur, vanne vidange/désinfectant, manchette témoin, manomètre, purgeur d'air, regard conforme régie","3.1.1.1  EQUIPEMENT DE BRANCHEMENT COMPTEUR GENERAL DN75
Fourniture et pose de l'équipement de branchement sur compteur DN 75
L'ensemble comprendra :
  2 Vannes DN 75
 Un clapet de retenue DN 75
 Un filtre microns à lavage automatique y compris vannes et by-pass
 Un disconnecteur
  Une vanne de vidange et d’introduction de désinfectant
  Une manchette témoin
 Un manomètre
 Un purgeur d’air
L'ensemble sera placé dans un regard conformément aux exigences de la régie. L'exécution du",0.99
PL,7,,BRANCHEMENT ET COMPTAGE,3.1.1.2,Equipement de branchement compteur général DN65,U,4.0,36,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,DN65,3.1.1.2  EQUIPEMENT DE BRANCHEMENT COMPTEUR GENERAL DN65,0.848
PL,8,,BRANCHEMENT ET COMPTAGE,3.1.1.3,"Surpresseur EP 4 m3/h Etage 5,6 & 7",U,4.0,36,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,GRUNDFOS | H À 70MCE | MONTÉ SUR,"surpresseur collectif à vitesse variable type | CMBE comprenant 1 pompes multicellulaires à axes horizontal type CME en acier inoxydable 304 avec moteur à haut rendement énergétique type IE5 IP55, avec variateur de vitesse montée sur la pompe | d’un débit unitaire de 4 m3/support de pose et fixation au sol, y compris vannes 5 voie","3.1.1.3  SURPRESSEUR EP 4 M3/H ETAGE 5,6 & 7
Fourniture pose installation est mise en service d’un surpresseur collectif à vitesse variable type
CMBE comprenant 1 pompes multicellulaires à axes horizontal type CME en acier inoxydable 304
avec moteur à haut rendement énergétique type IE5 IP55  , avec variateur de vitesse montée sur la
pompe, marque GRUNDFOS ou similaire, d’un débit unitaire de 4 m3/h à 70mce, monté sur
support de pose et fixation au sol , y compris vannes 5 voie, clapet anti-retour, réservoir de 2 litres,
crépine d’aspiration, collecteurs d’aspiration et de refoulement en inox.
Le régulateur de vitesse intégré permet au CMBE de maintenir une pression constante dans la
tuyauterie. Un capteur de pression surveillant les variations de la consommation d'eau signale au
  Un surpresseur CME avec convertisseur de fréquence intégré
 Un capteur de pression
  Une vanne à cinq voies",0.99
PL,10,,Equipement niche à N compteurs,3.1.1.4.1,Nourrice 12 compteurs,U,2.0,37,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,,3.1.1.4.1   Nourrice 12 compteurs,0.584
PL,11,,Equipement niche à N compteurs,3.1.1.4.2,Nourrice 13 compteurs,U,2.0,37,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,,3.1.1.4.2   Nourrice 13 compteurs,0.584
PL,12,,Equipement niche à N compteurs,3.1.1.4.3,Nourrice 14 compteurs,U,2.0,37,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,,3.1.1.4.3   Nourrice 14 compteurs,0.584
PL,13,,Equipement niche à N compteurs,3.1.1.4.4,Nourrice 15 compteurs,U,4.0,37,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,,3.1.1.4.4   Nourrice 15 compteurs,0.584
PL,14,,Equipement niche à N compteurs,3.1.1.4.5,Nourrice 16 compteurs,U,1.0,37,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,,3.1.1.4.5   Nourrice 16 compteurs,0.584
PL,18,,RESEAU EXTERIEUR,3.1.2.1.1,PVC PN16 DN75,ML,22.0,27,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,DAIKIN | ASSEMBLÉES | TESTÉES | CHARGÉES EN,PVC PN16 DN75,"Lot N°3 : Fluides                       en R+2 /1Sous sol en 2 Tranches- SOHAUS ""IMMEUBLES C et D""-
-      Unités extérieures à condensation par air dont un des compresseurs, contrôlé par Inverter,
permettra une modulation de la puissance globale de l'installation en fonction des variations de
charges thermiques des locaux à traiter
-      Unités intérieures de puissance variable, contrôlées individuellement et sélectionnées en
fonction des contraintes d'aménagement intérieur
-      Réseau de tuyauteries en cuivre de  qualité  frigorifique associés à des raccords de
dérivation ou des collecteurs de type REFNET
-      Régulation électronique PID permettant un contrôle précis et individualisé de chaque unité
intérieure
Afin de réduire l'impact environnemental des équipements, les appareils installés utiliseront des
composants entièrement recyclables. De plus, les platines électroniques seront dénuées de plomb.",0.99
PL,19,,RESEAU EXTERIEUR,3.1.2.1.2,PVC PN16 DN63,ML,22.0,27,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,DAIKIN | ASSEMBLÉES | TESTÉES | CHARGÉES EN,PVC PN16 DN63,"Lot N°3 : Fluides                       en R+2 /1Sous sol en 2 Tranches- SOHAUS ""IMMEUBLES C et D""-
-      Unités extérieures à condensation par air dont un des compresseurs, contrôlé par Inverter,
permettra une modulation de la puissance globale de l'installation en fonction des variations de
charges thermiques des locaux à traiter
-      Unités intérieures de puissance variable, contrôlées individuellement et sélectionnées en
fonction des contraintes d'aménagement intérieur
-      Réseau de tuyauteries en cuivre de  qualité  frigorifique associés à des raccords de
dérivation ou des collecteurs de type REFNET
-      Régulation électronique PID permettant un contrôle précis et individualisé de chaque unité
intérieure
Afin de réduire l'impact environnemental des équipements, les appareils installés utiliseront des
composants entièrement recyclables. De plus, les platines électroniques seront dénuées de plomb.",0.99
